Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-06-05,152.259995,154.889999,152.259995,154.330002,154.330002,928500,ANET,3yr
,ANET,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-03-13,7.390000,7.930000,7.390000,7.850000,7.850000,920700,CSLT,1yr
,CSLT,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-03-13,3.250000,3.400000,3.250000,3.300000,3.300000,184000,CSLT,3yr
,CSLT,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-05-07,22.870001,23.090000,21.980000,22.670000,22.670000,859300,CMCM,1yr
,CMCM,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-05-08,10.820000,10.950000,10.650000,10.730000,10.730000,301900,CMCM,3yr
,CMCM,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-03-27,9.750000,10.100000,9.620000,9.930000,9.930000,73300,WATT,1yr
,WATT,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-03-27,15.260000,15.580000,15.023000,15.280000,15.280000,285300,WATT,3yr
,WATT,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-07-17,34.000000,35.000000,33.439999,34.119999,34.119999,310900,GLOB,1yr
,GLOB,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-07-17,43.169998,43.820000,42.669998,42.790001,42.790001,333400,GLOB,3yr
,GLOB,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-10-27,19.799999,19.969999,18.940001,19.650000,19.650000,938200,HDP,1yr
,HDP,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-10-27,16.190001,16.360001,15.950000,16.280001,16.280001,608100,HDP,3yr
,HDP,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-10-08,47.310001,47.470001,46.540001,47.340000,47.340000,135600,HUBS,1yr
,HUBS,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-10-09,85.800003,86.400002,84.000000,84.250000,84.250000,235700,HUBS,3yr
,HUBS,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-12-15,9.750000,9.750000,9.660000,9.700000,9.700000,113400,INSE,1yr
,INSE,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-07-22,1.810000,1.830000,1.670000,1.800000,1.800000,10600,MTBC,1yr
,MTBC,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-07-24,1.200000,1.250000,1.160000,1.170000,1.170000,94800,MTBC,3yr
,MTBC,3yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2015-06-11,6.230000,6.280000,5.950000,6.030000,6.030000,1182900,MOBL,1yr
,MOBL,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
